file,model,condition,language_mix,metric,value
09_silkboard_traffic.mp3,sarvam,traffic,hinglish,rtf,0.2200189097083483
09_silkboard_traffic.mp3,whisper,traffic,hinglish,wer,2.0
09_silkboard_traffic.mp3,whisper,traffic,hinglish,cer,0.8292682926829268
09_silkboard_traffic.mp3,whisper,traffic,hinglish,locality_strict,0.0
09_silkboard_traffic.mp3,whisper,traffic,hinglish,locality_fuzzy,1.0
09_silkboard_traffic.mp3,whisper,traffic,hinglish,edit_distance,2.0
09_silkboard_traffic.mp3,whisper,traffic,hinglish,latency_ms,23957.38309999797
09_silkboard_traffic.mp3,whisper,traffic,hinglish,rtf,8.53962460400489
10_hebbal_outdoor.mp3,deepgram,outdoor,hinglish,wer,0.8333333333333334
10_hebbal_outdoor.mp3,deepgram,outdoor,hinglish,cer,0.5517241379310345
10_hebbal_outdoor.mp3,deepgram,outdoor,hinglish,locality_strict,0.0
10_hebbal_outdoor.mp3,deepgram,outdoor,hinglish,locality_fuzzy,0.0
10_hebbal_outdoor.mp3,deepgram,outdoor,hinglish,edit_distance,5.0
10_hebbal_outdoor.mp3,deepgram,outdoor,hinglish,latency_ms,2712.526600000274
10_hebbal_outdoor.mp3,deepgram,outdoor,hinglish,rtf,0.9841589514502457
10_hebbal_outdoor.mp3,sarvam,outdoor,hinglish,wer,1.5
10_hebbal_outdoor.mp3,sarvam,outdoor,hinglish,cer,0.8275862068965517
10_hebbal_outdoor.mp3,sarvam,outdoor,hinglish,locality_strict,0.0
10_hebbal_outdoor.mp3,sarvam,outdoor,hinglish,locality_fuzzy,1.0
10_hebbal_outdoor.mp3,sarvam,outdoor,hinglish,edit_distance,3.0
10_hebbal_outdoor.mp3,sarvam,outdoor,hinglish,latency_ms,549.2615000039223
10_hebbal_outdoor.mp3,sarvam,outdoor,hinglish,rtf,0.1992830676446803
10_hebbal_outdoor.mp3,whisper,outdoor,hinglish,wer,1.3333333333333333
10_hebbal_outdoor.mp3,whisper,outdoor,hinglish,cer,0.8275862068965517
10_hebbal_outdoor.mp3,whisper,outdoor,hinglish,locality_strict,0.0
10_hebbal_outdoor.mp3,whisper,outdoor,hinglish,locality_fuzzy,1.0
10_hebbal_outdoor.mp3,whisper,outdoor,hinglish,edit_distance,2.0
10_hebbal_outdoor.mp3,whisper,outdoor,hinglish,latency_ms,18703.777800001262
10_hebbal_outdoor.mp3,whisper,outdoor,hinglish,rtf,6.78610500918434
11_krpuram_outdoor.mp3,deepgram,outdoor,hinglish,wer,1.5
11_krpuram_outdoor.mp3,deepgram,outdoor,hinglish,cer,0.7241379310344828
11_krpuram_outdoor.mp3,deepgram,outdoor,hinglish,locality_strict,0.0
11_krpuram_outdoor.mp3,deepgram,outdoor,hinglish,locality_fuzzy,1.0
11_krpuram_outdoor.mp3,deepgram,outdoor,hinglish,edit_distance,2.0
11_krpuram_outdoor.mp3,deepgram,outdoor,hinglish,latency_ms,2290.0350999989314
11_krpuram_outdoor.mp3,deepgram,outdoor,hinglish,rtf,0.7957554913667695
11_krpuram_outdoor.mp3,sarvam,outdoor,hinglish,wer,1.8333333333333333
11_krpuram_outdoor.mp3,sarvam,outdoor,hinglish,cer,0.8275862068965517
11_krpuram_outdoor.mp3,sarvam,outdoor,hinglish,locality_strict,0.0
11_krpuram_outdoor.mp3,sarvam,outdoor,hinglish,locality_fuzzy,1.0
11_krpuram_outdoor.mp3,sarvam,outdoor,hinglish,edit_distance,2.0
11_krpuram_outdoor.mp3,sarvam,outdoor,hinglish,latency_ms,549.6620999983861
11_krpuram_outdoor.mp3,sarvam,outdoor,hinglish,rtf,0.19099996959440066
11_krpuram_outdoor.mp3,whisper,outdoor,hinglish,wer,1.8333333333333333
11_krpuram_outdoor.mp3,whisper,outdoor,hinglish,cer,0.8275862068965517
11_krpuram_outdoor.mp3,whisper,outdoor,hinglish,locality_strict,0.0
11_krpuram_outdoor.mp3,whisper,outdoor,hinglish,locality_fuzzy,1.0
11_krpuram_outdoor.mp3,whisper,outdoor,hinglish,edit_distance,2.0
11_krpuram_outdoor.mp3,whisper,outdoor,hinglish,latency_ms,21650.34089999972
11_krpuram_outdoor.mp3,whisper,outdoor,hinglish,rtf,7.523193710500499
12_yelahanka_whisper.mp3,deepgram,whisper,hinglish,wer,
12_yelahanka_whisper.mp3,deepgram,whisper,hinglish,cer,
12_yelahanka_whisper.mp3,deepgram,whisper,hinglish,locality_strict,
12_yelahanka_whisper.mp3,deepgram,whisper,hinglish,locality_fuzzy,
12_yelahanka_whisper.mp3,deepgram,whisper,hinglish,edit_distance,
12_yelahanka_whisper.mp3,deepgram,whisper,hinglish,latency_ms,
12_yelahanka_whisper.mp3,deepgram,whisper,hinglish,rtf,
12_yelahanka_whisper.mp3,sarvam,whisper,hinglish,wer,2.0
12_yelahanka_whisper.mp3,sarvam,whisper,hinglish,cer,0.8378378378378378
12_yelahanka_whisper.mp3,sarvam,whisper,hinglish,locality_strict,0.0
12_yelahanka_whisper.mp3,sarvam,whisper,hinglish,locality_fuzzy,0.0
12_yelahanka_whisper.mp3,sarvam,whisper,hinglish,edit_distance,4.0
12_yelahanka_whisper.mp3,sarvam,whisper,hinglish,latency_ms,513.4032999994815
12_yelahanka_whisper.mp3,sarvam,whisper,hinglish,rtf,0.19667798687908117
12_yelahanka_whisper.mp3,whisper,whisper,hinglish,wer,1.8571428571428572
12_yelahanka_whisper.mp3,whisper,whisper,hinglish,cer,0.8378378378378378
12_yelahanka_whisper.mp3,whisper,whisper,hinglish,locality_strict,0.0
12_yelahanka_whisper.mp3,whisper,whisper,hinglish,locality_fuzzy,0.0
12_yelahanka_whisper.mp3,whisper,whisper,hinglish,edit_distance,4.0
12_yelahanka_whisper.mp3,whisper,whisper,hinglish,latency_ms,20505.991499998345
12_yelahanka_whisper.mp3,whisper,whisper,hinglish,rtf,7.855573049848526
13_banashankari_whisper.mp3,deepgram,whisper,hinglish,wer,1.375
13_banashankari_whisper.mp3,deepgram,whisper,hinglish,cer,0.7674418604651163
13_banashankari_whisper.mp3,deepgram,whisper,hinglish,locality_strict,0.0
13_banashankari_whisper.mp3,deepgram,whisper,hinglish,locality_fuzzy,1.0
13_banashankari_whisper.mp3,deepgram,whisper,hinglish,edit_distance,3.0
13_banashankari_whisper.mp3,deepgram,whisper,hinglish,latency_ms,1791.0474999989674
13_banashankari_whisper.mp3,deepgram,whisper,hinglish,rtf,0.7187008752785965
13_banashankari_whisper.mp3,sarvam,whisper,hinglish,wer,1.625
13_banashankari_whisper.mp3,sarvam,whisper,hinglish,cer,0.8372093023255814
13_banashankari_whisper.mp3,sarvam,whisper,hinglish,locality_strict,0.0
13_banashankari_whisper.mp3,sarvam,whisper,hinglish,locality_fuzzy,0.0
13_banashankari_whisper.mp3,sarvam,whisper,hinglish,edit_distance,5.0
13_banashankari_whisper.mp3,sarvam,whisper,hinglish,latency_ms,788.3739000026253
13_banashankari_whisper.mp3,sarvam,whisper,hinglish,rtf,0.3163539838999324
13_banashankari_whisper.mp3,whisper,whisper,hinglish,wer,1.5
13_banashankari_whisper.mp3,whisper,whisper,hinglish,cer,0.8372093023255814
13_banashankari_whisper.mp3,whisper,whisper,hinglish,locality_strict,0.0
13_banashankari_whisper.mp3,whisper,whisper,hinglish,locality_fuzzy,1.0
13_banashankari_whisper.mp3,whisper,whisper,hinglish,edit_distance,3.0
13_banashankari_whisper.mp3,whisper,whisper,hinglish,latency_ms,21739.276100001007
13_banashankari_whisper.mp3,whisper,whisper,hinglish,rtf,8.723407258044695
14_peenya_phone.mp3,deepgram,phone_style,hinglish,wer,1.1428571428571428
14_peenya_phone.mp3,deepgram,phone_style,hinglish,cer,0.5348837209302325
14_peenya_phone.mp3,deepgram,phone_style,hinglish,locality_strict,0.0
14_peenya_phone.mp3,deepgram,phone_style,hinglish,locality_fuzzy,1.0
14_peenya_phone.mp3,deepgram,phone_style,hinglish,edit_distance,3.0
14_peenya_phone.mp3,deepgram,phone_style,hinglish,latency_ms,1896.33689999755
14_peenya_phone.mp3,deepgram,phone_style,hinglish,rtf,0.6324197262550018
14_peenya_phone.mp3,sarvam,phone_style,hinglish,wer,2.142857142857143
14_peenya_phone.mp3,sarvam,phone_style,hinglish,cer,0.8604651162790697
14_peenya_phone.mp3,sarvam,phone_style,hinglish,locality_strict,0.0
14_peenya_phone.mp3,sarvam,phone_style,hinglish,locality_fuzzy,1.0
14_peenya_phone.mp3,sarvam,phone_style,hinglish,edit_distance,2.0
14_peenya_phone.mp3,sarvam,phone_style,hinglish,latency_ms,568.3515000055195
14_peenya_phone.mp3,sarvam,phone_style,hinglish,rtf,0.18954263878458233
14_peenya_phone.mp3,whisper,phone_style,hinglish,wer,0.8571428571428571
14_peenya_phone.mp3,whisper,phone_style,hinglish,cer,0.4883720930232558
14_peenya_phone.mp3,whisper,phone_style,hinglish,locality_strict,0.0
14_peenya_phone.mp3,whisper,phone_style,hinglish,locality_fuzzy,0.0
14_peenya_phone.mp3,whisper,phone_style,hinglish,edit_distance,4.0
14_peenya_phone.mp3,whisper,phone_style,hinglish,latency_ms,17617.07430000024
14_peenya_phone.mp3,whisper,phone_style,hinglish,rtf,5.87521410685758
15_majestic_phone.mp3,deepgram,phone_style,hinglish,wer,0.8333333333333334
15_majestic_phone.mp3,deepgram,phone_style,hinglish,cer,0.5806451612903226
15_majestic_phone.mp3,deepgram,phone_style,hinglish,locality_strict,1.0
15_majestic_phone.mp3,deepgram,phone_style,hinglish,locality_fuzzy,1.0
15_majestic_phone.mp3,deepgram,phone_style,hinglish,edit_distance,0.0
15_majestic_phone.mp3,deepgram,phone_style,hinglish,latency_ms,1994.5111000015459
15_majestic_phone.mp3,deepgram,phone_style,hinglish,rtf,0.778402751421439
15_majestic_phone.mp3,sarvam,phone_style,hinglish,wer,1.6666666666666667
15_majestic_phone.mp3,sarvam,phone_style,hinglish,cer,0.8387096774193549
15_majestic_phone.mp3,sarvam,phone_style,hinglish,locality_strict,0.0
15_majestic_phone.mp3,sarvam,phone_style,hinglish,locality_fuzzy,1.0
15_majestic_phone.mp3,sarvam,phone_style,hinglish,edit_distance,2.0
15_majestic_phone.mp3,sarvam,phone_style,hinglish,latency_ms,488.48310000175843
15_majestic_phone.mp3,sarvam,phone_style,hinglish,rtf,0.19064150059829096
15_majestic_phone.mp3,whisper,phone_style,hinglish,wer,0.8333333333333334
15_majestic_phone.mp3,whisper,phone_style,hinglish,cer,0.5806451612903226
15_majestic_phone.mp3,whisper,phone_style,hinglish,locality_strict,1.0
15_majestic_phone.mp3,whisper,phone_style,hinglish,locality_fuzzy,1.0
15_majestic_phone.mp3,whisper,phone_style,hinglish,edit_distance,0.0
15_majestic_phone.mp3,whisper,phone_style,hinglish,latency_ms,18376.553900001454
15_majestic_phone.mp3,whisper,phone_style,hinglish,rtf,7.171862877772112
16_sarjapur_fast.mp3,deepgram,fast,hinglish,wer,1.0
16_sarjapur_fast.mp3,deepgram,fast,hinglish,cer,0.6470588235294118
16_sarjapur_fast.mp3,deepgram,fast,hinglish,locality_strict,0.0
16_sarjapur_fast.mp3,deepgram,fast,hinglish,locality_fuzzy,1.0
16_sarjapur_fast.mp3,deepgram,fast,hinglish,edit_distance,3.0
16_sarjapur_fast.mp3,deepgram,fast,hinglish,latency_ms,1604.8835000001418
16_sarjapur_fast.mp3,deepgram,fast,hinglish,rtf,0.7448911494242418
16_sarjapur_fast.mp3,sarvam,fast,hinglish,wer,1.5
16_sarjapur_fast.mp3,sarvam,fast,hinglish,cer,0.8529411764705882
16_sarjapur_fast.mp3,sarvam,fast,hinglish,locality_strict,0.0
16_sarjapur_fast.mp3,sarvam,fast,hinglish,locality_fuzzy,1.0
16_sarjapur_fast.mp3,sarvam,fast,hinglish,edit_distance,3.0
16_sarjapur_fast.mp3,sarvam,fast,hinglish,latency_ms,886.7774000027566
16_sarjapur_fast.mp3,sarvam,fast,hinglish,rtf,0.4115891507211805
16_sarjapur_fast.mp3,whisper,fast,hinglish,wer,1.5
16_sarjapur_fast.mp3,whisper,fast,hinglish,cer,0.8529411764705882
16_sarjapur_fast.mp3,whisper,fast,hinglish,locality_strict,0.0
16_sarjapur_fast.mp3,whisper,fast,hinglish,locality_fuzzy,1.0
16_sarjapur_fast.mp3,whisper,fast,hinglish,edit_distance,3.0
16_sarjapur_fast.mp3,whisper,fast,hinglish,latency_ms,19664.41489999852
16_sarjapur_fast.mp3,whisper,fast,hinglish,rtf,9.127047924421797
17_yeshwanthpur_fast.mp3,deepgram,fast,hinglish,wer,1.8
17_yeshwanthpur_fast.mp3,deepgram,fast,hinglish,cer,0.6666666666666666
17_yeshwanthpur_fast.mp3,deepgram,fast,hinglish,locality_strict,0.0
17_yeshwanthpur_fast.mp3,deepgram,fast,hinglish,locality_fuzzy,0.0
17_yeshwanthpur_fast.mp3,deepgram,fast,hinglish,edit_distance,8.0
17_yeshwanthpur_fast.mp3,deepgram,fast,hinglish,latency_ms,1898.083600000973
17_yeshwanthpur_fast.mp3,deepgram,fast,hinglish,rtf,0.9329771005503845
